,date,HATO,variable,value,HATO_C
1171,2020-03-28,PARAISO,name,Paraiso-Lote_6,PARAISO
3766,2020-03-28,PARAISO,lag_1,Paraiso-Lote_5,PARAISO_1
6361,2020-03-28,PARAISO,lag_2,Paraiso-Lote_3,PARAISO_2
8956,2020-03-28,PARAISO,lag_3,Paraiso-Lote_2,PARAISO_3
1172,2020-03-29,PARAISO,name,Paraiso-Lote_6,PARAISO
3767,2020-03-29,PARAISO,lag_1,Paraiso-Lote_5,PARAISO_1
6362,2020-03-29,PARAISO,lag_2,Paraiso-Lote_3,PARAISO_2
8957,2020-03-29,PARAISO,lag_3,Paraiso-Lote_2,PARAISO_3
1173,2020-03-30,PARAISO,name,Paraiso-Lote_6,PARAISO
3768,2020-03-30,PARAISO,lag_1,Paraiso-Lote_5,PARAISO_1
6363,2020-03-30,PARAISO,lag_2,Paraiso-Lote_3,PARAISO_2
8958,2020-03-30,PARAISO,lag_3,Paraiso-Lote_2,PARAISO_3
1174,2020-03-31,PARAISO,name,Paraiso-Lote_6,PARAISO
3769,2020-03-31,PARAISO,lag_1,Paraiso-Lote_5,PARAISO_1
6364,2020-03-31,PARAISO,lag_2,Paraiso-Lote_3,PARAISO_2
8959,2020-03-31,PARAISO,lag_3,Paraiso-Lote_2,PARAISO_3
1175,2020-04-01,PARAISO,name,Paraiso-Lote_6,PARAISO
3770,2020-04-01,PARAISO,lag_1,Paraiso-Lote_5,PARAISO_1
6365,2020-04-01,PARAISO,lag_2,Paraiso-Lote_3,PARAISO_2
8960,2020-04-01,PARAISO,lag_3,Paraiso-Lote_2,PARAISO_3
1176,2020-04-02,PARAISO,name,Paraiso-Lote_7,PARAISO
3771,2020-04-02,PARAISO,lag_1,Paraiso-Lote_6,PARAISO_1
6366,2020-04-02,PARAISO,lag_2,Paraiso-Lote_5,PARAISO_2
8961,2020-04-02,PARAISO,lag_3,Paraiso-Lote_3,PARAISO_3
1177,2020-04-03,PARAISO,name,Paraiso-Lote_7,PARAISO
3772,2020-04-03,PARAISO,lag_1,Paraiso-Lote_6,PARAISO_1
6367,2020-04-03,PARAISO,lag_2,Paraiso-Lote_5,PARAISO_2
8962,2020-04-03,PARAISO,lag_3,Paraiso-Lote_3,PARAISO_3
1178,2020-04-04,PARAISO,name,Paraiso-Lote_7,PARAISO
3773,2020-04-04,PARAISO,lag_1,Paraiso-Lote_6,PARAISO_1
6368,2020-04-04,PARAISO,lag_2,Paraiso-Lote_5,PARAISO_2
8963,2020-04-04,PARAISO,lag_3,Paraiso-Lote_3,PARAISO_3
1179,2020-04-05,PARAISO,name,Paraiso-Lote_7,PARAISO
3774,2020-04-05,PARAISO,lag_1,Paraiso-Lote_6,PARAISO_1
6369,2020-04-05,PARAISO,lag_2,Paraiso-Lote_5,PARAISO_2
8964,2020-04-05,PARAISO,lag_3,Paraiso-Lote_3,PARAISO_3
1180,2020-04-06,PARAISO,name,Paraiso-Lote_9,PARAISO
3775,2020-04-06,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6370,2020-04-06,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8965,2020-04-06,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1181,2020-04-07,PARAISO,name,Paraiso-Lote_9,PARAISO
3776,2020-04-07,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6371,2020-04-07,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8966,2020-04-07,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1182,2020-04-08,PARAISO,name,Paraiso-Lote_9,PARAISO
3777,2020-04-08,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6372,2020-04-08,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8967,2020-04-08,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1183,2020-04-09,PARAISO,name,Paraiso-Lote_9,PARAISO
3778,2020-04-09,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6373,2020-04-09,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8968,2020-04-09,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1184,2020-04-10,PARAISO,name,Paraiso-Lote_9,PARAISO
3779,2020-04-10,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6374,2020-04-10,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8969,2020-04-10,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1185,2020-04-11,PARAISO,name,Paraiso-Lote_9,PARAISO
3780,2020-04-11,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6375,2020-04-11,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8970,2020-04-11,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1186,2020-04-12,PARAISO,name,Paraiso-Lote_9,PARAISO
3781,2020-04-12,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6376,2020-04-12,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8971,2020-04-12,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1187,2020-04-13,PARAISO,name,Paraiso-Lote_9,PARAISO
3782,2020-04-13,PARAISO,lag_1,Paraiso-Lote_7,PARAISO_1
6377,2020-04-13,PARAISO,lag_2,Paraiso-Lote_6,PARAISO_2
8972,2020-04-13,PARAISO,lag_3,Paraiso-Lote_5,PARAISO_3
1188,2019-01-01,RECODO 1,name,RC43,RECODO 1
3783,2019-01-01,RECODO 1,lag_1,,RECODO 1_1
6378,2019-01-01,RECODO 1,lag_2,,RECODO 1_2
8973,2019-01-01,RECODO 1,lag_3,,RECODO 1_3
1189,2019-01-02,RECODO 1,name,RC43,RECODO 1
3784,2019-01-02,RECODO 1,lag_1,,RECODO 1_1
6379,2019-01-02,RECODO 1,lag_2,,RECODO 1_2
8974,2019-01-02,RECODO 1,lag_3,,RECODO 1_3
1190,2019-01-03,RECODO 1,name,RC44,RECODO 1
3785,2019-01-03,RECODO 1,lag_1,RC43,RECODO 1_1
6380,2019-01-03,RECODO 1,lag_2,,RECODO 1_2
8975,2019-01-03,RECODO 1,lag_3,,RECODO 1_3
1191,2019-01-04,RECODO 1,name,RC44,RECODO 1
3786,2019-01-04,RECODO 1,lag_1,RC43,RECODO 1_1
6381,2019-01-04,RECODO 1,lag_2,,RECODO 1_2
8976,2019-01-04,RECODO 1,lag_3,,RECODO 1_3
1192,2019-01-05,RECODO 1,name,RC44,RECODO 1
3787,2019-01-05,RECODO 1,lag_1,RC43,RECODO 1_1
6382,2019-01-05,RECODO 1,lag_2,,RECODO 1_2
8977,2019-01-05,RECODO 1,lag_3,,RECODO 1_3
1193,2019-01-06,RECODO 1,name,RC44,RECODO 1
3788,2019-01-06,RECODO 1,lag_1,RC43,RECODO 1_1
6383,2019-01-06,RECODO 1,lag_2,,RECODO 1_2
8978,2019-01-06,RECODO 1,lag_3,,RECODO 1_3
1194,2019-01-07,RECODO 1,name,RC45,RECODO 1
3789,2019-01-07,RECODO 1,lag_1,RC44,RECODO 1_1
6384,2019-01-07,RECODO 1,lag_2,RC43,RECODO 1_2
8979,2019-01-07,RECODO 1,lag_3,,RECODO 1_3
1195,2019-01-08,RECODO 1,name,RC45,RECODO 1
3790,2019-01-08,RECODO 1,lag_1,RC44,RECODO 1_1
6385,2019-01-08,RECODO 1,lag_2,RC43,RECODO 1_2
8980,2019-01-08,RECODO 1,lag_3,,RECODO 1_3
1196,2019-01-09,RECODO 1,name,RC45,RECODO 1
3791,2019-01-09,RECODO 1,lag_1,RC44,RECODO 1_1
6386,2019-01-09,RECODO 1,lag_2,RC43,RECODO 1_2
8981,2019-01-09,RECODO 1,lag_3,,RECODO 1_3
1197,2019-01-10,RECODO 1,name,RC45,RECODO 1
3792,2019-01-10,RECODO 1,lag_1,RC44,RECODO 1_1
6387,2019-01-10,RECODO 1,lag_2,RC43,RECODO 1_2
8982,2019-01-10,RECODO 1,lag_3,,RECODO 1_3
1198,2019-01-11,RECODO 1,name,RC46,RECODO 1
3793,2019-01-11,RECODO 1,lag_1,RC45,RECODO 1_1
6388,2019-01-11,RECODO 1,lag_2,RC44,RECODO 1_2
8983,2019-01-11,RECODO 1,lag_3,RC43,RECODO 1_3
1199,2019-01-12,RECODO 1,name,RC46,RECODO 1
3794,2019-01-12,RECODO 1,lag_1,RC45,RECODO 1_1
6389,2019-01-12,RECODO 1,lag_2,RC44,RECODO 1_2
8984,2019-01-12,RECODO 1,lag_3,RC43,RECODO 1_3
1200,2019-01-13,RECODO 1,name,RC46,RECODO 1
3795,2019-01-13,RECODO 1,lag_1,RC45,RECODO 1_1
6390,2019-01-13,RECODO 1,lag_2,RC44,RECODO 1_2
8985,2019-01-13,RECODO 1,lag_3,RC43,RECODO 1_3
1201,2019-01-14,RECODO 1,name,RC25,RECODO 1
3796,2019-01-14,RECODO 1,lag_1,RC46,RECODO 1_1
6391,2019-01-14,RECODO 1,lag_2,RC45,RECODO 1_2
8986,2019-01-14,RECODO 1,lag_3,RC44,RECODO 1_3
1202,2019-01-15,RECODO 1,name,RC25,RECODO 1
3797,2019-01-15,RECODO 1,lag_1,RC46,RECODO 1_1
6392,2019-01-15,RECODO 1,lag_2,RC45,RECODO 1_2
8987,2019-01-15,RECODO 1,lag_3,RC44,RECODO 1_3
1203,2019-01-16,RECODO 1,name,RC25,RECODO 1
3798,2019-01-16,RECODO 1,lag_1,RC46,RECODO 1_1
6393,2019-01-16,RECODO 1,lag_2,RC45,RECODO 1_2
8988,2019-01-16,RECODO 1,lag_3,RC44,RECODO 1_3
1204,2019-01-17,RECODO 1,name,RC25,RECODO 1
3799,2019-01-17,RECODO 1,lag_1,RC46,RECODO 1_1
6394,2019-01-17,RECODO 1,lag_2,RC45,RECODO 1_2
8989,2019-01-17,RECODO 1,lag_3,RC44,RECODO 1_3
1205,2019-01-18,RECODO 1,name,RC25,RECODO 1
3800,2019-01-18,RECODO 1,lag_1,RC46,RECODO 1_1
6395,2019-01-18,RECODO 1,lag_2,RC45,RECODO 1_2
8990,2019-01-18,RECODO 1,lag_3,RC44,RECODO 1_3
1206,2019-01-19,RECODO 1,name,RC22,RECODO 1
3801,2019-01-19,RECODO 1,lag_1,RC25,RECODO 1_1
6396,2019-01-19,RECODO 1,lag_2,RC46,RECODO 1_2
8991,2019-01-19,RECODO 1,lag_3,RC45,RECODO 1_3
1207,2019-01-20,RECODO 1,name,RC22,RECODO 1
3802,2019-01-20,RECODO 1,lag_1,RC25,RECODO 1_1
6397,2019-01-20,RECODO 1,lag_2,RC46,RECODO 1_2
8992,2019-01-20,RECODO 1,lag_3,RC45,RECODO 1_3
1208,2019-01-21,RECODO 1,name,RC22,RECODO 1
3803,2019-01-21,RECODO 1,lag_1,RC25,RECODO 1_1
6398,2019-01-21,RECODO 1,lag_2,RC46,RECODO 1_2
8993,2019-01-21,RECODO 1,lag_3,RC45,RECODO 1_3
1209,2019-01-22,RECODO 1,name,RC22,RECODO 1
3804,2019-01-22,RECODO 1,lag_1,RC25,RECODO 1_1
6399,2019-01-22,RECODO 1,lag_2,RC46,RECODO 1_2
8994,2019-01-22,RECODO 1,lag_3,RC45,RECODO 1_3
1210,2019-01-23,RECODO 1,name,RC23,RECODO 1
3805,2019-01-23,RECODO 1,lag_1,RC22,RECODO 1_1
6400,2019-01-23,RECODO 1,lag_2,RC25,RECODO 1_2
8995,2019-01-23,RECODO 1,lag_3,RC46,RECODO 1_3
1211,2019-01-24,RECODO 1,name,RC23,RECODO 1
3806,2019-01-24,RECODO 1,lag_1,RC22,RECODO 1_1
6401,2019-01-24,RECODO 1,lag_2,RC25,RECODO 1_2
8996,2019-01-24,RECODO 1,lag_3,RC46,RECODO 1_3
1212,2019-01-25,RECODO 1,name,RC23,RECODO 1
3807,2019-01-25,RECODO 1,lag_1,RC22,RECODO 1_1
6402,2019-01-25,RECODO 1,lag_2,RC25,RECODO 1_2
8997,2019-01-25,RECODO 1,lag_3,RC46,RECODO 1_3
1213,2019-01-26,RECODO 1,name,RC23,RECODO 1
3808,2019-01-26,RECODO 1,lag_1,RC22,RECODO 1_1
6403,2019-01-26,RECODO 1,lag_2,RC25,RECODO 1_2
8998,2019-01-26,RECODO 1,lag_3,RC46,RECODO 1_3
1214,2019-01-27,RECODO 1,name,RC23,RECODO 1
3809,2019-01-27,RECODO 1,lag_1,RC22,RECODO 1_1
6404,2019-01-27,RECODO 1,lag_2,RC25,RECODO 1_2
8999,2019-01-27,RECODO 1,lag_3,RC46,RECODO 1_3
1215,2019-01-28,RECODO 1,name,RC24,RECODO 1
3810,2019-01-28,RECODO 1,lag_1,RC23,RECODO 1_1
6405,2019-01-28,RECODO 1,lag_2,RC22,RECODO 1_2
9000,2019-01-28,RECODO 1,lag_3,RC25,RECODO 1_3
1216,2019-01-29,RECODO 1,name,RC24,RECODO 1
3811,2019-01-29,RECODO 1,lag_1,RC23,RECODO 1_1
6406,2019-01-29,RECODO 1,lag_2,RC22,RECODO 1_2
9001,2019-01-29,RECODO 1,lag_3,RC25,RECODO 1_3
1217,2019-01-30,RECODO 1,name,RC24,RECODO 1
3812,2019-01-30,RECODO 1,lag_1,RC23,RECODO 1_1
6407,2019-01-30,RECODO 1,lag_2,RC22,RECODO 1_2
9002,2019-01-30,RECODO 1,lag_3,RC25,RECODO 1_3
1218,2019-01-31,RECODO 1,name,RC24,RECODO 1
3813,2019-01-31,RECODO 1,lag_1,RC23,RECODO 1_1
6408,2019-01-31,RECODO 1,lag_2,RC22,RECODO 1_2
9003,2019-01-31,RECODO 1,lag_3,RC25,RECODO 1_3
1219,2019-02-01,RECODO 1,name,RC24,RECODO 1
3814,2019-02-01,RECODO 1,lag_1,RC23,RECODO 1_1
6409,2019-02-01,RECODO 1,lag_2,RC22,RECODO 1_2
9004,2019-02-01,RECODO 1,lag_3,RC25,RECODO 1_3
1220,2019-02-02,RECODO 1,name,RC14,RECODO 1
3815,2019-02-02,RECODO 1,lag_1,RC24,RECODO 1_1
6410,2019-02-02,RECODO 1,lag_2,RC23,RECODO 1_2
9005,2019-02-02,RECODO 1,lag_3,RC22,RECODO 1_3
1221,2019-02-03,RECODO 1,name,RC14,RECODO 1
3816,2019-02-03,RECODO 1,lag_1,RC24,RECODO 1_1
6411,2019-02-03,RECODO 1,lag_2,RC23,RECODO 1_2
9006,2019-02-03,RECODO 1,lag_3,RC22,RECODO 1_3
1222,2019-02-04,RECODO 1,name,RC14,RECODO 1
3817,2019-02-04,RECODO 1,lag_1,RC24,RECODO 1_1
6412,2019-02-04,RECODO 1,lag_2,RC23,RECODO 1_2
9007,2019-02-04,RECODO 1,lag_3,RC22,RECODO 1_3
1223,2019-02-05,RECODO 1,name,RC14,RECODO 1
3818,2019-02-05,RECODO 1,lag_1,RC24,RECODO 1_1
6413,2019-02-05,RECODO 1,lag_2,RC23,RECODO 1_2
9008,2019-02-05,RECODO 1,lag_3,RC22,RECODO 1_3
1224,2019-02-06,RECODO 1,name,RC13,RECODO 1
3819,2019-02-06,RECODO 1,lag_1,RC14,RECODO 1_1
6414,2019-02-06,RECODO 1,lag_2,RC24,RECODO 1_2
9009,2019-02-06,RECODO 1,lag_3,RC23,RECODO 1_3
1225,2019-02-07,RECODO 1,name,RC13,RECODO 1
3820,2019-02-07,RECODO 1,lag_1,RC14,RECODO 1_1
6415,2019-02-07,RECODO 1,lag_2,RC24,RECODO 1_2
9010,2019-02-07,RECODO 1,lag_3,RC23,RECODO 1_3
1226,2019-02-08,RECODO 1,name,RC13,RECODO 1
3821,2019-02-08,RECODO 1,lag_1,RC14,RECODO 1_1
6416,2019-02-08,RECODO 1,lag_2,RC24,RECODO 1_2
9011,2019-02-08,RECODO 1,lag_3,RC23,RECODO 1_3
1227,2019-02-09,RECODO 1,name,RC13,RECODO 1
3822,2019-02-09,RECODO 1,lag_1,RC14,RECODO 1_1
6417,2019-02-09,RECODO 1,lag_2,RC24,RECODO 1_2
9012,2019-02-09,RECODO 1,lag_3,RC23,RECODO 1_3
1228,2019-02-10,RECODO 1,name,RC13,RECODO 1
3823,2019-02-10,RECODO 1,lag_1,RC14,RECODO 1_1
6418,2019-02-10,RECODO 1,lag_2,RC24,RECODO 1_2
9013,2019-02-10,RECODO 1,lag_3,RC23,RECODO 1_3
1229,2019-02-11,RECODO 1,name,RC13,RECODO 1
3824,2019-02-11,RECODO 1,lag_1,RC14,RECODO 1_1
6419,2019-02-11,RECODO 1,lag_2,RC24,RECODO 1_2
9014,2019-02-11,RECODO 1,lag_3,RC23,RECODO 1_3
1230,2019-02-12,RECODO 1,name,RC13,RECODO 1
3825,2019-02-12,RECODO 1,lag_1,RC14,RECODO 1_1
6420,2019-02-12,RECODO 1,lag_2,RC24,RECODO 1_2
9015,2019-02-12,RECODO 1,lag_3,RC23,RECODO 1_3
1231,2019-02-13,RECODO 1,name,RC13,RECODO 1
3826,2019-02-13,RECODO 1,lag_1,RC14,RECODO 1_1
6421,2019-02-13,RECODO 1,lag_2,RC24,RECODO 1_2
9016,2019-02-13,RECODO 1,lag_3,RC23,RECODO 1_3
1232,2019-02-14,RECODO 1,name,RC13,RECODO 1
3827,2019-02-14,RECODO 1,lag_1,RC14,RECODO 1_1
6422,2019-02-14,RECODO 1,lag_2,RC24,RECODO 1_2
9017,2019-02-14,RECODO 1,lag_3,RC23,RECODO 1_3
1233,2019-02-15,RECODO 1,name,RC13,RECODO 1
3828,2019-02-15,RECODO 1,lag_1,RC14,RECODO 1_1
6423,2019-02-15,RECODO 1,lag_2,RC24,RECODO 1_2
9018,2019-02-15,RECODO 1,lag_3,RC23,RECODO 1_3
1234,2019-02-16,RECODO 1,name,RC15,RECODO 1
3829,2019-02-16,RECODO 1,lag_1,RC13,RECODO 1_1
6424,2019-02-16,RECODO 1,lag_2,RC14,RECODO 1_2
9019,2019-02-16,RECODO 1,lag_3,RC24,RECODO 1_3
1235,2019-02-17,RECODO 1,name,RC15,RECODO 1
3830,2019-02-17,RECODO 1,lag_1,RC13,RECODO 1_1
6425,2019-02-17,RECODO 1,lag_2,RC14,RECODO 1_2
9020,2019-02-17,RECODO 1,lag_3,RC24,RECODO 1_3
1236,2019-02-18,RECODO 1,name,RC11,RECODO 1
3831,2019-02-18,RECODO 1,lag_1,RC15,RECODO 1_1
6426,2019-02-18,RECODO 1,lag_2,RC13,RECODO 1_2
9021,2019-02-18,RECODO 1,lag_3,RC14,RECODO 1_3
1237,2019-02-19,RECODO 1,name,RC11,RECODO 1
3832,2019-02-19,RECODO 1,lag_1,RC15,RECODO 1_1
6427,2019-02-19,RECODO 1,lag_2,RC13,RECODO 1_2
9022,2019-02-19,RECODO 1,lag_3,RC14,RECODO 1_3
1238,2019-02-20,RECODO 1,name,RC11,RECODO 1
3833,2019-02-20,RECODO 1,lag_1,RC15,RECODO 1_1
6428,2019-02-20,RECODO 1,lag_2,RC13,RECODO 1_2
9023,2019-02-20,RECODO 1,lag_3,RC14,RECODO 1_3
1239,2019-02-21,RECODO 1,name,RC11,RECODO 1
3834,2019-02-21,RECODO 1,lag_1,RC15,RECODO 1_1
6429,2019-02-21,RECODO 1,lag_2,RC13,RECODO 1_2
9024,2019-02-21,RECODO 1,lag_3,RC14,RECODO 1_3
1240,2019-02-22,RECODO 1,name,RC11,RECODO 1
3835,2019-02-22,RECODO 1,lag_1,RC15,RECODO 1_1
6430,2019-02-22,RECODO 1,lag_2,RC13,RECODO 1_2
9025,2019-02-22,RECODO 1,lag_3,RC14,RECODO 1_3
1241,2019-02-23,RECODO 1,name,RC10,RECODO 1
3836,2019-02-23,RECODO 1,lag_1,RC11,RECODO 1_1
6431,2019-02-23,RECODO 1,lag_2,RC15,RECODO 1_2
9026,2019-02-23,RECODO 1,lag_3,RC13,RECODO 1_3
1242,2019-02-24,RECODO 1,name,RC10,RECODO 1
3837,2019-02-24,RECODO 1,lag_1,RC11,RECODO 1_1
6432,2019-02-24,RECODO 1,lag_2,RC15,RECODO 1_2
9027,2019-02-24,RECODO 1,lag_3,RC13,RECODO 1_3
1243,2019-02-25,RECODO 1,name,RC17,RECODO 1
3838,2019-02-25,RECODO 1,lag_1,RC10,RECODO 1_1
6433,2019-02-25,RECODO 1,lag_2,RC11,RECODO 1_2
9028,2019-02-25,RECODO 1,lag_3,RC15,RECODO 1_3
1244,2019-02-26,RECODO 1,name,RC17,RECODO 1
3839,2019-02-26,RECODO 1,lag_1,RC10,RECODO 1_1
6434,2019-02-26,RECODO 1,lag_2,RC11,RECODO 1_2
9029,2019-02-26,RECODO 1,lag_3,RC15,RECODO 1_3
1245,2019-02-27,RECODO 1,name,RC18,RECODO 1
3840,2019-02-27,RECODO 1,lag_1,RC17,RECODO 1_1
6435,2019-02-27,RECODO 1,lag_2,RC10,RECODO 1_2
9030,2019-02-27,RECODO 1,lag_3,RC11,RECODO 1_3
1246,2019-02-28,RECODO 1,name,RC18,RECODO 1
3841,2019-02-28,RECODO 1,lag_1,RC17,RECODO 1_1
6436,2019-02-28,RECODO 1,lag_2,RC10,RECODO 1_2
9031,2019-02-28,RECODO 1,lag_3,RC11,RECODO 1_3
1247,2019-03-01,RECODO 1,name,RC18,RECODO 1
3842,2019-03-01,RECODO 1,lag_1,RC17,RECODO 1_1
6437,2019-03-01,RECODO 1,lag_2,RC10,RECODO 1_2
9032,2019-03-01,RECODO 1,lag_3,RC11,RECODO 1_3
1248,2019-03-02,RECODO 1,name,RC18,RECODO 1
3843,2019-03-02,RECODO 1,lag_1,RC17,RECODO 1_1
6438,2019-03-02,RECODO 1,lag_2,RC10,RECODO 1_2
9033,2019-03-02,RECODO 1,lag_3,RC11,RECODO 1_3
1249,2019-03-03,RECODO 1,name,RC20,RECODO 1
3844,2019-03-03,RECODO 1,lag_1,RC18,RECODO 1_1
6439,2019-03-03,RECODO 1,lag_2,RC17,RECODO 1_2
9034,2019-03-03,RECODO 1,lag_3,RC10,RECODO 1_3
1250,2019-03-04,RECODO 1,name,RC20,RECODO 1
3845,2019-03-04,RECODO 1,lag_1,RC18,RECODO 1_1
6440,2019-03-04,RECODO 1,lag_2,RC17,RECODO 1_2
9035,2019-03-04,RECODO 1,lag_3,RC10,RECODO 1_3
1251,2019-03-05,RECODO 1,name,RC20,RECODO 1
3846,2019-03-05,RECODO 1,lag_1,RC18,RECODO 1_1
6441,2019-03-05,RECODO 1,lag_2,RC17,RECODO 1_2
9036,2019-03-05,RECODO 1,lag_3,RC10,RECODO 1_3
1252,2019-03-06,RECODO 1,name,RC20,RECODO 1
3847,2019-03-06,RECODO 1,lag_1,RC18,RECODO 1_1
6442,2019-03-06,RECODO 1,lag_2,RC17,RECODO 1_2
9037,2019-03-06,RECODO 1,lag_3,RC10,RECODO 1_3
1253,2019-03-07,RECODO 1,name,RC21,RECODO 1
3848,2019-03-07,RECODO 1,lag_1,RC20,RECODO 1_1
6443,2019-03-07,RECODO 1,lag_2,RC18,RECODO 1_2
9038,2019-03-07,RECODO 1,lag_3,RC17,RECODO 1_3
1254,2019-03-08,RECODO 1,name,RC21,RECODO 1
3849,2019-03-08,RECODO 1,lag_1,RC20,RECODO 1_1
6444,2019-03-08,RECODO 1,lag_2,RC18,RECODO 1_2
9039,2019-03-08,RECODO 1,lag_3,RC17,RECODO 1_3
1255,2019-03-09,RECODO 1,name,RC21,RECODO 1
3850,2019-03-09,RECODO 1,lag_1,RC20,RECODO 1_1
6445,2019-03-09,RECODO 1,lag_2,RC18,RECODO 1_2
9040,2019-03-09,RECODO 1,lag_3,RC17,RECODO 1_3
1256,2019-03-10,RECODO 1,name,RC26,RECODO 1
3851,2019-03-10,RECODO 1,lag_1,RC21,RECODO 1_1
6446,2019-03-10,RECODO 1,lag_2,RC20,RECODO 1_2
9041,2019-03-10,RECODO 1,lag_3,RC18,RECODO 1_3
1257,2019-03-11,RECODO 1,name,RC26,RECODO 1
3852,2019-03-11,RECODO 1,lag_1,RC21,RECODO 1_1
6447,2019-03-11,RECODO 1,lag_2,RC20,RECODO 1_2
9042,2019-03-11,RECODO 1,lag_3,RC18,RECODO 1_3
1258,2019-03-12,RECODO 1,name,RC26,RECODO 1
3853,2019-03-12,RECODO 1,lag_1,RC21,RECODO 1_1
6448,2019-03-12,RECODO 1,lag_2,RC20,RECODO 1_2
9043,2019-03-12,RECODO 1,lag_3,RC18,RECODO 1_3
1259,2019-03-13,RECODO 1,name,RC26,RECODO 1
3854,2019-03-13,RECODO 1,lag_1,RC21,RECODO 1_1
6449,2019-03-13,RECODO 1,lag_2,RC20,RECODO 1_2
9044,2019-03-13,RECODO 1,lag_3,RC18,RECODO 1_3
1260,2019-03-14,RECODO 1,name,RC44,RECODO 1
3855,2019-03-14,RECODO 1,lag_1,RC26,RECODO 1_1
6450,2019-03-14,RECODO 1,lag_2,RC21,RECODO 1_2
9045,2019-03-14,RECODO 1,lag_3,RC20,RECODO 1_3
1261,2019-03-15,RECODO 1,name,RC45,RECODO 1
3856,2019-03-15,RECODO 1,lag_1,RC44,RECODO 1_1
6451,2019-03-15,RECODO 1,lag_2,RC26,RECODO 1_2
9046,2019-03-15,RECODO 1,lag_3,RC21,RECODO 1_3
1262,2019-03-16,RECODO 1,name,RC45,RECODO 1
3857,2019-03-16,RECODO 1,lag_1,RC44,RECODO 1_1
6452,2019-03-16,RECODO 1,lag_2,RC26,RECODO 1_2
9047,2019-03-16,RECODO 1,lag_3,RC21,RECODO 1_3
1263,2019-03-17,RECODO 1,name,RC46,RECODO 1
3858,2019-03-17,RECODO 1,lag_1,RC45,RECODO 1_1
6453,2019-03-17,RECODO 1,lag_2,RC44,RECODO 1_2
9048,2019-03-17,RECODO 1,lag_3,RC26,RECODO 1_3
1264,2019-03-18,RECODO 1,name,RC46,RECODO 1
3859,2019-03-18,RECODO 1,lag_1,RC45,RECODO 1_1
6454,2019-03-18,RECODO 1,lag_2,RC44,RECODO 1_2
9049,2019-03-18,RECODO 1,lag_3,RC26,RECODO 1_3
1265,2019-03-19,RECODO 1,name,RC46,RECODO 1
3860,2019-03-19,RECODO 1,lag_1,RC45,RECODO 1_1
6455,2019-03-19,RECODO 1,lag_2,RC44,RECODO 1_2
9050,2019-03-19,RECODO 1,lag_3,RC26,RECODO 1_3
1266,2019-03-20,RECODO 1,name,RC46,RECODO 1
3861,2019-03-20,RECODO 1,lag_1,RC45,RECODO 1_1
6456,2019-03-20,RECODO 1,lag_2,RC44,RECODO 1_2
9051,2019-03-20,RECODO 1,lag_3,RC26,RECODO 1_3
1267,2019-03-21,RECODO 1,name,RC25,RECODO 1
3862,2019-03-21,RECODO 1,lag_1,RC46,RECODO 1_1
6457,2019-03-21,RECODO 1,lag_2,RC45,RECODO 1_2
9052,2019-03-21,RECODO 1,lag_3,RC44,RECODO 1_3
1268,2019-03-22,RECODO 1,name,RC25,RECODO 1
3863,2019-03-22,RECODO 1,lag_1,RC46,RECODO 1_1
6458,2019-03-22,RECODO 1,lag_2,RC45,RECODO 1_2
9053,2019-03-22,RECODO 1,lag_3,RC44,RECODO 1_3
1269,2019-03-23,RECODO 1,name,RC25,RECODO 1
3864,2019-03-23,RECODO 1,lag_1,RC46,RECODO 1_1
6459,2019-03-23,RECODO 1,lag_2,RC45,RECODO 1_2
9054,2019-03-23,RECODO 1,lag_3,RC44,RECODO 1_3
1270,2019-03-24,RECODO 1,name,RC22,RECODO 1
3865,2019-03-24,RECODO 1,lag_1,RC25,RECODO 1_1
6460,2019-03-24,RECODO 1,lag_2,RC46,RECODO 1_2
9055,2019-03-24,RECODO 1,lag_3,RC45,RECODO 1_3
1271,2019-03-25,RECODO 1,name,RC22,RECODO 1
3866,2019-03-25,RECODO 1,lag_1,RC25,RECODO 1_1
6461,2019-03-25,RECODO 1,lag_2,RC46,RECODO 1_2
