,date,HATO,variable,value,HATO_C
2636,2019-09-18,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5231,2019-09-18,ISLA,lag_2,La_Isla-Lote_28,ISLA_2
7826,2019-09-18,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3
42,2019-09-19,ISLA,name,La_Isla-Lote_18,ISLA
2637,2019-09-19,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5232,2019-09-19,ISLA,lag_2,La_Isla-Lote_28,ISLA_2
7827,2019-09-19,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3
43,2019-09-20,ISLA,name,La_Isla-Lote_18,ISLA
2638,2019-09-20,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5233,2019-09-20,ISLA,lag_2,La_Isla-Lote_28,ISLA_2
7828,2019-09-20,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3
44,2019-09-21,ISLA,name,La_Isla-Lote_1,ISLA
2639,2019-09-21,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5234,2019-09-21,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7829,2019-09-21,ISLA,lag_3,La_Isla-Lote_28,ISLA_3
45,2019-09-22,ISLA,name,La_Isla-Lote_1,ISLA
2640,2019-09-22,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5235,2019-09-22,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7830,2019-09-22,ISLA,lag_3,La_Isla-Lote_28,ISLA_3
46,2019-09-23,ISLA,name,La_Isla-Lote_1,ISLA
2641,2019-09-23,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5236,2019-09-23,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7831,2019-09-23,ISLA,lag_3,La_Isla-Lote_28,ISLA_3
47,2019-09-24,ISLA,name,La_Isla-Lote_1,ISLA
2642,2019-09-24,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5237,2019-09-24,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7832,2019-09-24,ISLA,lag_3,La_Isla-Lote_28,ISLA_3
48,2019-09-25,ISLA,name,La_Isla-Lote_1,ISLA
2643,2019-09-25,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5238,2019-09-25,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7833,2019-09-25,ISLA,lag_3,La_Isla-Lote_28,ISLA_3
49,2019-09-26,ISLA,name,La_Isla-Lote_3,ISLA
2644,2019-09-26,ISLA,lag_1,La_Isla-Lote_1,ISLA_1
5239,2019-09-26,ISLA,lag_2,La_Isla-Lote_18,ISLA_2
7834,2019-09-26,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
50,2019-09-27,ISLA,name,La_Isla-Lote_3,ISLA
2645,2019-09-27,ISLA,lag_1,La_Isla-Lote_1,ISLA_1
5240,2019-09-27,ISLA,lag_2,La_Isla-Lote_18,ISLA_2
7835,2019-09-27,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
51,2019-09-28,ISLA,name,La_Isla-Lote_3,ISLA
2646,2019-09-28,ISLA,lag_1,La_Isla-Lote_1,ISLA_1
5241,2019-09-28,ISLA,lag_2,La_Isla-Lote_18,ISLA_2
7836,2019-09-28,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
52,2019-09-29,ISLA,name,La_Isla-Lote_3,ISLA
2647,2019-09-29,ISLA,lag_1,La_Isla-Lote_1,ISLA_1
5242,2019-09-29,ISLA,lag_2,La_Isla-Lote_18,ISLA_2
7837,2019-09-29,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
53,2019-09-30,ISLA,name,La_Isla-Lote_4,ISLA
2648,2019-09-30,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5243,2019-09-30,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7838,2019-09-30,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
54,2019-10-01,ISLA,name,La_Isla-Lote_4,ISLA
2649,2019-10-01,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5244,2019-10-01,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7839,2019-10-01,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
55,2019-10-02,ISLA,name,La_Isla-Lote_4,ISLA
2650,2019-10-02,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5245,2019-10-02,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7840,2019-10-02,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
56,2019-10-03,ISLA,name,La_Isla-Lote_4,ISLA
2651,2019-10-03,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5246,2019-10-03,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7841,2019-10-03,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
57,2019-10-04,ISLA,name,La_Isla-Lote_4,ISLA
2652,2019-10-04,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
