Unnamed: 0,poly,name,date,HATO,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
2505,29,RC30,2020-01-15,RECODO 3,RAYGRAS,1.3,134.0,2528.0,18.86567164179105,False,2020-01-15 00:00:00,2,38 days 00:00:00,134.0,2019-03-28 00:00:00,2019-01-09 00:00:00,2019-03-09 00:00:00,,,,,293 days 00:00:00,371 days 00:00:00,312 days 00:00:00,,,,
161,154,La_Isla-Lote_28,2020-01-16,ISLA,KYKUYO,1.3,63.0,1080.0,17.142857142857142,False,2020-01-16 00:00:00,3,36 days 00:00:00,63.0,2019-12-24 00:00:00,,2019-03-17 00:00:00,2019-03-17 00:00:00,2019-12-22 00:00:00,2019-06-14 00:00:00,,23 days 00:00:00,,305 days 00:00:00,305 days 00:00:00,25 days 00:00:00,216 days 00:00:00,
630,81,Juncalito-Lote_1,2020-01-16,JUNCAL,KYKUYO,1.2,132.0,2166.0,16.40909090909091,False,2020-01-16 00:00:00,1,33 days 00:00:00,132.0,2019-12-24 00:00:00,,2019-03-15 00:00:00,2019-03-15 00:00:00,2019-07-02 00:00:00,2019-03-15 00:00:00,2019-03-15 00:00:00,23 days 00:00:00,,307 days 00:00:00,307 days 00:00:00,198 days 00:00:00,307 days 00:00:00,307 days 00:00:00
1099,113,Paraiso-Lote_12,2020-01-16,PARAISO,KYKUYO,1.1,114.0,1829.0,16.043859649122812,False,2020-01-16 00:00:00,1,21 days 00:00:00,114.0,2019-12-03 00:00:00,,,,2019-07-02 00:00:00,2019-05-23 00:00:00,,44 days 00:00:00,,,,198 days 00:00:00,238 days 00:00:00,
1568,21,RC22,2020-01-16,RECODO 1,KYKUYO,1.6,127.0,2437.0,19.188976377952763,False,2020-01-16 00:00:00,2,48 days 00:00:00,127.0,2019-02-16 00:00:00,,2019-04-02 00:00:00,,,,,334 days 00:00:00,,289 days 00:00:00,,,,
2037,39,RC40,2020-01-16,RECODO 2,KYKUYO,1.9,135.0,2566.0,19.007407407407406,False,2020-01-16 00:00:00,2,53 days 00:00:00,135.0,2019-05-10 00:00:00,,2019-03-11 00:00:00,,2019-03-15 00:00:00,,,251 days 00:00:00,,311 days 00:00:00,,307 days 00:00:00,,
2506,2,RC03,2020-01-16,RECODO 3,RAYGRAS,1.3,134.0,2527.0,18.85820895522388,False,2020-01-16 00:00:00,1,37 days 00:00:00,134.0,2019-02-18 00:00:00,,,,2019-02-08 00:00:00,,,332 days 00:00:00,,,,342 days 00:00:00,,
162,119,La_Isla-Lote_7,2020-01-17,ISLA,KYKUYO,1.2,63.0,1119.0,17.761904761904766,False,2020-01-17 00:00:00,1,78 days 00:00:00,63.0,2019-02-07 00:00:00,,,,2019-10-23 00:00:00,2019-04-03 00:00:00,,344 days 00:00:00,,,,86 days 00:00:00,289 days 00:00:00,
631,81,Juncalito-Lote_1,2020-01-17,JUNCAL,KYKUYO,1.2,134.0,2156.0,16.08955223880597,False,2020-01-17 00:00:00,2,33 days 00:00:00,134.0,2019-12-24 00:00:00,,2019-03-15 00:00:00,2019-03-15 00:00:00,2019-07-02 00:00:00,2019-03-15 00:00:00,2019-03-15 00:00:00,24 days 00:00:00,,308 days 00:00:00,308 days 00:00:00,199 days 00:00:00,308 days 00:00:00,308 days 00:00:00
1100,114,Paraiso-Lote_13,2020-01-17,PARAISO,KYKUYO,1.3,114.0,1768.0,15.508771929824562,False,2020-01-17 00:00:00,1,39 days 00:00:00,114.0,2019-12-24 00:00:00,,,,2019-07-02 00:00:00,2019-05-24 00:00:00,,24 days 00:00:00,,,,199 days 00:00:00,238 days 00:00:00,
