AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,,,,Contador,9058,,,ACTIVIDAD,2,,SIEMBRA,2,FUMIGADA,4,ABONADA,73,RENOVADA,291,CORTE,623,HENOLAJE,644,DESBROSADA,694,ROTOBO,1694,RIEGO,2174,ENMIENDA,2339,ENCALADO,2484,PASTOREO,831
2016,12,LA ISLA,23,4'765,FUMIGADA,27/12/2016,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,32,8'156,FUMIGADA,27/12/2016,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,8,24'604,FUMIGADA,27/12/2016,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,RANCHO,8,4'766,FUMIGADA,27/12/2016,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,RANCHO,9,5'770,FUMIGADA,27/12/2016,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,18,11'883,FUMIGADA,28/12/2016,28/12 casta agrofast fumigado mitad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,35,11'572,FUMIGADA,28/12/2016,28/12 casta agrofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,MANGA LARGA,1,10'141,FUMIGADA,28/12/2016,28/12 casta grofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,RANCHO,10,5'446,FUMIGADA,30/12/2016,30/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,RANCHO,11,3'274,FUMIGADA,30/12/2016,30/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,9,25'492,FUMIGADA,31/12/2016,31/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,10,11'019,FUMIGADA,02/01/2017,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,11,12'330,FUMIGADA,02/01/2017,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
