Unnamed: 0_x,date,HATO,variable,value,HATO_C,Unnamed: 0_y,poly,name,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
5399,2020-03-04,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
7994,2020-03-04,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,2020-03-04,JUNCAL,name,Juncalito-Lote_3,JUNCAL,678.0,83.0,Juncalito-Lote_3,KYKUYO,1.0,119.0,1945.0,16.344537815126053,False,2020-03-04 00:00:00,1.0,40 days 00:00:00,119.0,2020-02-07 00:00:00,,,,2019-09-19 00:00:00,2019-02-13 00:00:00,,26 days 00:00:00,,,,167 days 00:00:00,385 days 00:00:00,
3273,2020-03-04,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5868,2020-03-04,JUNCAL,lag_2,Juncalito-Lote_1,JUNCAL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8463,2020-03-04,JUNCAL,lag_3,Juncalito-Lote_21,JUNCAL_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,2020-03-04,PARAISO,name,Paraiso-Lote_13,PARAISO,1147.0,114.0,Paraiso-Lote_13,KYKUYO,1.2,121.0,1840.0,15.206611570247937,False,2020-03-04 00:00:00,1.0,45 days 00:00:00,121.0,2020-02-06 00:00:00,,,,2020-02-06 00:00:00,2019-05-24 00:00:00,,27 days 00:00:00,,,,27 days 00:00:00,285 days 00:00:00,
3742,2020-03-04,PARAISO,lag_1,Paraiso-Lote_12,PARAISO_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6337,2020-03-04,PARAISO,lag_2,Paraiso-Lote_11,PARAISO_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8932,2020-03-04,PARAISO,lag_3,Paraiso-Lote_10,PARAISO_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,2020-03-04,RECODO 1,name,RC01,RECODO 1,1616.0,0.0,RC01,RAYGRAS,1.3,121.0,2525.0,20.867768595041326,False,2020-03-04 00:00:00,2.0,39 days 00:00:00,121.0,2020-02-01 00:00:00,,2019-04-04 00:00:00,,,,,32 days 00:00:00,,335 days 00:00:00,,,,
4211,2020-03-04,RECODO 1,lag_1,RC02,RECODO 1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6806,2020-03-04,RECODO 1,lag_2,RC03,RECODO 1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401,2020-03-04,RECODO 1,lag_3,RC30,RECODO 1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,2020-03-04,RECODO 2,name,RC36,RECODO 2,2085.0,35.0,RC36,KYKUYO,1.2,134.0,2466.0,18.402985074626862,False,2020-03-04 00:00:00,2.0,48 days 00:00:00,134.0,2020-01-28 00:00:00,,2019-03-08 00:00:00,2019-03-08 00:00:00,,,,36 days 00:00:00,,362 days 00:00:00,362 days 00:00:00,,,
4680,2020-03-04,RECODO 2,lag_1,RC37,RECODO 2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7275,2020-03-04,RECODO 2,lag_2,RC38,RECODO 2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9870,2020-03-04,RECODO 2,lag_3,RC60,RECODO 2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,2020-03-04,RECODO 3,name,RC25,RECODO 3,2554.0,24.0,RC25,KYKUYO,1.1,117.0,1966.0,16.803418803418804,False,2020-03-04 00:00:00,1.0,49 days 00:00:00,117.0,2020-01-31 00:00:00,,2019-03-29 00:00:00,,,,,33 days 00:00:00,,341 days 00:00:00,,,,
5149,2020-03-04,RECODO 3,lag_1,RC46,RECODO 3_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7744,2020-03-04,RECODO 3,lag_2,RC45,RECODO 3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
10339,2020-03-04,RECODO 3,lag_3,RC44,RECODO 3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2020-03-05,ISLA,name,La_Isla-Lote_7,ISLA,210.0,119.0,La_Isla-Lote_7,KYKUYO,0.9,60.0,876.0,14.6,False,2020-03-05 00:00:00,3.0,44 days 00:00:00,60.0,2019-02-07 00:00:00,,,,2019-10-23 00:00:00,2019-04-03 00:00:00,,392 days 00:00:00,,,,134 days 00:00:00,337 days 00:00:00,
2805,2020-03-05,ISLA,lag_1,La_Isla-Lote_28,ISLA_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,2020-03-05,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
7995,2020-03-05,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,2020-03-05,JUNCAL,name,Juncalito-Lote_3,JUNCAL,679.0,83.0,Juncalito-Lote_3,KYKUYO,1.0,119.0,1896.0,15.932773109243698,False,2020-03-05 00:00:00,2.0,40 days 00:00:00,119.0,2020-02-07 00:00:00,,,,2019-09-19 00:00:00,2019-02-13 00:00:00,,27 days 00:00:00,,,,168 days 00:00:00,386 days 00:00:00,
3274,2020-03-05,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,2020-03-05,JUNCAL,lag_2,Juncalito-Lote_1,JUNCAL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8464,2020-03-05,JUNCAL,lag_3,Juncalito-Lote_21,JUNCAL_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,2020-03-05,PARAISO,name,Paraiso-Lote_13,PARAISO,1148.0,114.0,Paraiso-Lote_13,KYKUYO,1.2,109.0,1809.0,16.59633027522936,False,2020-03-05 00:00:00,2.0,45 days 00:00:00,109.0,2020-02-06 00:00:00,,,,2020-02-06 00:00:00,2019-05-24 00:00:00,,28 days 00:00:00,,,,28 days 00:00:00,286 days 00:00:00,
3743,2020-03-05,PARAISO,lag_1,Paraiso-Lote_12,PARAISO_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6338,2020-03-05,PARAISO,lag_2,Paraiso-Lote_11,PARAISO_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8933,2020-03-05,PARAISO,lag_3,Paraiso-Lote_10,PARAISO_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2020-03-05,RECODO 1,name,RC01,RECODO 1,1617.0,0.0,RC01,RAYGRAS,1.3,117.0,2446.0,20.905982905982906,False,2020-03-05 00:00:00,3.0,39 days 00:00:00,117.0,2020-02-01 00:00:00,,2019-04-04 00:00:00,,,,,33 days 00:00:00,,336 days 00:00:00,,,,
4212,2020-03-05,RECODO 1,lag_1,RC02,RECODO 1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807,2020-03-05,RECODO 1,lag_2,RC03,RECODO 1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402,2020-03-05,RECODO 1,lag_3,RC30,RECODO 1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,2020-03-05,RECODO 2,name,RC36,RECODO 2,2086.0,35.0,RC36,KYKUYO,1.2,128.0,2323.0,18.1484375,False,2020-03-05 00:00:00,3.0,48 days 00:00:00,128.0,2020-01-28 00:00:00,,2019-03-08 00:00:00,2019-03-08 00:00:00,,,,37 days 00:00:00,,363 days 00:00:00,363 days 00:00:00,,,
4681,2020-03-05,RECODO 2,lag_1,RC37,RECODO 2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7276,2020-03-05,RECODO 2,lag_2,RC38,RECODO 2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9871,2020-03-05,RECODO 2,lag_3,RC60,RECODO 2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,2020-03-05,RECODO 3,name,RC25,RECODO 3,2555.0,24.0,RC25,KYKUYO,1.1,104.0,2000.0,19.23076923076923,False,2020-03-05 00:00:00,2.0,49 days 00:00:00,104.0,2020-01-31 00:00:00,,2019-03-29 00:00:00,,,,,34 days 00:00:00,,342 days 00:00:00,,,,
5150,2020-03-05,RECODO 3,lag_1,RC46,RECODO 3_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7745,2020-03-05,RECODO 3,lag_2,RC45,RECODO 3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340,2020-03-05,RECODO 3,lag_3,RC44,RECODO 3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
