name,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,area
La_Isla-Lote_19,La_Isla-Lote_20,La_Isla-Lote_ML_3,La_Isla-Lote_21,La_Isla-Lote_28,La_Isla-Lote_ML_4,La_Isla-Lote_17,La_Isla-Lote_ML_2,La_Isla-Lote_18,La_Isla-Lote_16,7349.315068988114
La_Isla-Lote_18,La_Isla-Lote_17,La_Isla-Lote_ML_2,La_Isla-Lote_ML_1,La_Isla-Lote_16,La_Isla-Lote_19,La_Isla-Lote_20,La_Isla-Lote_ML_3,La_Isla-Lote_15,La_Isla-Lote_21,9710.152728430836
La_Isla-Lote_ML_1,Juncalito-Lote_21,La_Isla-Lote_ML_2,La_Isla-Lote_18,Juncalito-Lote_20,La_Isla-Lote_17,La_Isla-Lote_4,La_Isla-Lote_16,La_Isla-Lote_ML_3,La_Isla-Lote_19,10420.524051255363
La_Isla-Lote_ML_2,La_Isla-Lote_18,Juncalito-Lote_20,La_Isla-Lote_ML_1,La_Isla-Lote_ML_3,La_Isla-Lote_17,La_Isla-Lote_19,Juncalito-Lote_21,Juncalito-Lote_19,La_Isla-Lote_20,11452.422493656693
La_Isla-Lote_ML_3,La_Isla-Lote_19,La_Isla-Lote_ML_4,Juncalito-Lote_19,La_Isla-Lote_ML_2,La_Isla-Lote_20,Juncalito-Lote_18,La_Isla-Lote_18,Juncalito-Lote_20,La_Isla-Lote_28,11727.52503375131
La_Isla-Lote_ML_4,La_Isla-Lote_ML_5,La_Isla-Lote_ML_3,Juncalito-Lote_18,La_Isla-Lote_28,La_Isla-Lote_19,Juncalito-Lote_17,Juncalito-Lote_19,La_Isla-Lote_ML_6,La_Isla-Lote_29,6258.791283426615
La_Isla-Lote_ML_5,La_Isla-Lote_ML_4,La_Isla-Lote_ML_6,Juncalito-Lote_17,La_Isla-Lote_29,Juncalito-Lote_18,La_Isla-Lote_28,Juncalito-Lote_16,La_Isla-Lote_ML_7,La_Isla-Lote_ML_3,6518.918392002002
La_Isla-Lote_ML_6,La_Isla-Lote_ML_7,La_Isla-Lote_ML_5,Juncalito-Lote_16,La_Isla-Lote_29,Juncalito-Lote_17,La_Isla-Lote_36,Juncalito-Lote_15,La_Isla-Lote_ML_4,La_Isla-Lote_35,7062.851368134891
La_Isla-Lote_ML_7,La_Isla-Lote_ML_6,La_Isla-Lote_36,Juncalito-Lote_15,Juncalito-Lote_16,La_Isla-Lote_35,La_Isla-Lote_ML_8,La_Isla-Lote_ML_5,La_Isla-Lote_29,Juncalito-Lote_14,6619.487983431687
La_Isla-Lote_ML_8,Juncalito-Lote_14,Juncalito-Lote_13,La_Isla-Lote_36,La_Isla-Lote_ML_7,Juncalito-Lote_15,La_Isla-Lote_35,Juncalito-Lote_8,La_Isla-Lote_ML_6,Juncalito-Lote_16,20220.34779042679
La_Isla-Lote_36,La_Isla-Lote_35,La_Isla-Lote_ML_7,La_Isla-Lote_34,La_Isla-Lote_ML_8,La_Isla-Lote_ML_6,La_Isla-Lote_29,Juncalito-Lote_15,Juncalito-Lote_14,La_Isla-Lote_33,14781.909021932854
La_Isla-Lote_35,La_Isla-Lote_34,La_Isla-Lote_36,La_Isla-Lote_ML_7,La_Isla-Lote_33,La_Isla-Lote_29,La_Isla-Lote_30,La_Isla-Lote_ML_6,La_Isla-Lote_ML_8,La_Isla-Lote_32,11836.595440212393
La_Isla-Lote_34,La_Isla-Lote_35,La_Isla-Lote_33,La_Isla-Lote_36,La_Isla-Lote_30,La_Isla-Lote_29,La_Isla-Lote_32,La_Isla-Lote_ML_7,La_Isla-Lote_31,La_Isla-Lote_ML_6,7998.905694869201
La_Isla-Lote_33,La_Isla-Lote_34,La_Isla-Lote_32,La_Isla-Lote_30,La_Isla-Lote_31,La_Isla-Lote_35,La_Isla-Lote_29,La_Isla-Lote_26,La_Isla-Lote_27,La_Isla-Lote_36,8517.455274285216
La_Isla-Lote_28,La_Isla-Lote_29,La_Isla-Lote_27,La_Isla-Lote_20,La_Isla-Lote_19,La_Isla-Lote_ML_4,La_Isla-Lote_ML_5,La_Isla-Lote_21,La_Isla-Lote_30,La_Isla-Lote_ML_3,16420.766341834176
La_Isla-Lote_29,La_Isla-Lote_28,La_Isla-Lote_30,La_Isla-Lote_ML_5,La_Isla-Lote_ML_6,La_Isla-Lote_35,La_Isla-Lote_34,La_Isla-Lote_ML_4,La_Isla-Lote_27,La_Isla-Lote_ML_7,14465.364752754684
La_Isla-Lote_27,La_Isla-Lote_26,La_Isla-Lote_30,La_Isla-Lote_28,La_Isla-Lote_31,La_Isla-Lote_25,La_Isla-Lote_22,La_Isla-Lote_21,La_Isla-Lote_23,La_Isla-Lote_32,6947.157043028565
La_Isla-Lote_30,La_Isla-Lote_32,La_Isla-Lote_31,La_Isla-Lote_29,La_Isla-Lote_33,La_Isla-Lote_27,La_Isla-Lote_34,La_Isla-Lote_26,La_Isla-Lote_28,La_Isla-Lote_35,9051.19818251845
La_Isla-Lote_26,La_Isla-Lote_27,La_Isla-Lote_25,La_Isla-Lote_31,La_Isla-Lote_23,La_Isla-Lote_22,La_Isla-Lote_30,La_Isla-Lote_32,La_Isla-Lote_24,La_Isla-Lote_21,5423.878217310655
La_Isla-Lote_25,La_Isla-Lote_26,La_Isla-Lote_31,La_Isla-Lote_24,La_Isla-Lote_27,La_Isla-Lote_23,La_Isla-Lote_32,La_Isla-Lote_22,La_Isla-Lote_30,La_Isla-Lote_21,7811.541944505792
La_Isla-Lote_31,La_Isla-Lote_32,La_Isla-Lote_26,La_Isla-Lote_25,La_Isla-Lote_30,La_Isla-Lote_27,La_Isla-Lote_33,La_Isla-Lote_23,La_Isla-Lote_24,La_Isla-Lote_34,5484.109107686407
La_Isla-Lote_32,La_Isla-Lote_31,La_Isla-Lote_33,La_Isla-Lote_30,La_Isla-Lote_26,La_Isla-Lote_25,La_Isla-Lote_27,La_Isla-Lote_34,La_Isla-Lote_29,La_Isla-Lote_35,7820.805104596514
