N,Días,Fecha,Día kg,CCS '000,Conc.,filename,Id,Lactancia
12.0,187.0,2019-05-31,24.8,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
3.0,50.0,2019-05-31,26.4,,7.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
11.0,158.0,2019-05-31,28.1,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
2.0,34.0,2019-05-15,28.8,,5.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
10.0,142.0,2019-05-15,30.8,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
11.0,171.0,2019-05-15,23.1,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
1.0,20.0,2019-05-01,20.3,,5.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
10.0,157.0,2019-05-01,25.5,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
9.0,128.0,2019-05-01,33.6,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
9.0,143.0,2019-04-17,19.7,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
8.0,114.0,2019-04-17,29.2,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
8.0,123.0,2019-03-28,31.0,,10.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
7.0,94.0,2019-03-28,35.2,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
7.0,107.0,2019-03-12,32.5,,10.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
6.0,78.0,2019-03-12,32.0,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
5.0,65.0,2019-02-27,35.3,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
6.0,94.0,2019-02-27,35.3,,10.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
5.0,79.0,2019-02-12,35.4,,10.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
4.0,50.0,2019-02-12,35.0,,10.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
4.0,66.0,2019-01-30,31.8,,9.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
3.0,37.0,2019-01-30,30.0,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
2.0,22.0,2019-01-15,33.7,,5.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
3.0,51.0,2019-01-15,34.9,,9.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
1.0,7.0,2018-12-31,11.3,,5.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
2.0,36.0,2018-12-31,28.9,,9.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
1.0,20.0,2018-12-15,23.0,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
